CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,SNP,2020 Disaster %,2021 Disaster %,2023 Part C Summary,2023 Part D Summary,2023 Overall
H2185 ,Local CCP ,"LIFEWORKS ADVANTAGE, LLC ",LifeWorks Advantage ,"Innovative Long Term Care Management, Inc. ",Yes ,100,0,Not enough data available ,4,Not enough data available
H2196 ,Local CCP ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,0,8,3.5,3.5,3.5
H2224 ,Local CCP ,"SENIOR WHOLE HEALTH, LLC ",Senior Whole Health ,"Molina Healthcare, Inc., ",Yes ,100,0,3,3,3
H2225 ,Local CCP ,"COMMONWEALTH CARE ALLIANCE, INC. ",Commonwealth Care Alliance Massachusetts ,"Commonwealth Care Alliance, Inc. ",Yes ,100,0,4.5,3.5,4.5
H2226 ,Local CCP ,UNITEDHEALTHCARE INSURANCE COMPANY ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,0,4,4.5,4
H2228 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,0,4,3.5,4
H2230 ,Local CCP ,"BCBS  OF MASSACHUSETTS HMO BLUE, INC. ",Blue Cross Blue Shield of Massachusetts ,"Blue Cross and Blue Shield of Massachusetts, Inc. ",No ,100,0,4,4,4
H2235 ,Local CCP ,"BAYCARE SELECT HEALTH PLANS, INC. ",BayCare Health Plans ,"BayCare Health System, Inc. ",No ,100,0,4.5,4,4.5
H2237 ,Local CCP ,INDEPENDENT CARE HEALTH PLAN ,iCare ,Humana Inc. ,Yes ,100,0,4,3,4
H2246 ,Local CCP ,"SELECTHEALTH, INC. ",SelectHealth ,"Intermountain Health Care, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2247 ,Local CCP ,"UNITEDHEALTHCARE COMMUNITY PLAN, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,0,3.5,3.5,3.5
H2256 ,Local CCP ,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION ,Tufts Health Plan ,"Point32Health, Inc. ",No ,100,0,5,4,5
H2261 ,Local CCP ,"BCBS  OF MASSACHUSETTS HMO BLUE, INC. ",Blue Cross Blue Shield of Massachusetts ,"Blue Cross and Blue Shield of Massachusetts, Inc. ",No ,100,0,3.5,4,4
H2272 ,Local CCP ,"UNITEDHEALTHCARE OF NEW ENGLAND, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2292 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,47,5,5,5
H2293 ,Local CCP ,SILVERSCRIPT INSURANCE COMPANY ,Aetna Medicare ,CVS Health Corporation ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2320 ,Local CCP ,PRIORITY HEALTH ,Priority Health Medicare ,BHSH ,No ,100,0,5,4.5,5
H2322 ,Local CCP ,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY ,HAP Senior Plus (PPO) ,Henry Ford Health System ,No ,100,0,3.5,4,4
H2334 ,Local CCP ,"CLEAR SPRING HEALTH (SC), INC. ",Clear Spring Health ,Group 1001 ,No ,100,0,Not enough data available ,Not enough data available ,Not enough data available
H2354 ,Local CCP ,HEALTH ALLIANCE PLAN OF MICHIGAN ,HAP Senior Plus ,Henry Ford Health System ,Yes ,100,0,4.5,5,4.5
H2392 ,Local CCP ,"KANSAS SUPERIOR SELECT, INC. ",Kansas Health Advantage ,Kansas Superior Select ,Yes ,100,0,Not enough data available ,4,Not enough data available
H2400 ,Local CCP ,"SIGNATURE ADVANTAGE, LLC ",Signature Advantage (HMO SNP) ,"SA Plan, LLC ",Yes ,100,0,Not enough data available ,3,Not enough data available
H2406 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,0,3.5,3,3.5
H2416 ,Local CCP ,PRIMEWEST RURAL MN HEALTH CARE ACCESS INITIATIVE ,PrimeWest Health ,PrimeWest Rural MN Health Care Access Initiative ,Yes ,100,0,4,4,4
H2417 ,Local CCP ,ITASCA MEDICAL CARE ,Itasca Medical Care/IMCare Classic ,Itasca County ,Yes ,100,0,Not enough data available ,3.5,Not enough data available
H2419 ,Local CCP ,SOUTH COUNTRY HEALTH ALLIANCE ,South Country Health Alliance ,South Country Health Alliance ,Yes ,100,0,3.5,4,4
H2422 ,Local CCP ,"HEALTHPARTNERS, INC. ",HealthPartners ,"HealthPartners, Inc. ",Yes ,100,0,4,3.5,4
H2425 ,Local CCP ,HMO Minnesota ,Blue Plus ,"Aware Integrated, Inc. ",Yes ,100,0,4.5,4,5
H2450 ,1876 Cost ,MEDICA INSURANCE COMPANY ,Medica ,Medica Holding Company ,No ,100,0,4.5,4,4.5
H2456 ,Local CCP ,UCARE MINNESOTA ,UCare's MSHO ,UCare Minnesota ,Yes ,100,0,3.5,3.5,3.5
H2458 ,Local CCP ,MEDICA HEALTH PLANS ,Medica ,Medica Holding Company ,Yes ,100,0,4.5,3.5,4
H2459 ,Local CCP ,UCARE MINNESOTA ,UCare ,UCare Minnesota ,Yes ,100,0,4.5,4,4.5
H2461 ,1876 Cost ,"BCBSM, Inc. ",Blue Cross and Blue Shield of Minnesota ,"Aware Integrated, Inc. ",No ,100,0,4.5,4,4.5
H2462 ,1876 Cost ,"GROUP HEALTH PLAN, INC. (MN) ",HealthPartners ,"HealthPartners, Inc. ",No ,100,0,4,Not enough data available ,Not enough data available
H2463 ,Local CCP ,"HUMANA HEALTH PLAN OF TEXAS, INC. ",Humana ,Humana Inc. ,No ,100,0,3,3,3
H2478 ,Local CCP ,MOLINA HEALTHCARE OF NEVADA INC ,Molina Healthcare of Nevada ,"Molina Healthcare, Inc., ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2486 ,Local CCP ,"HUMANA MEDICAL PLAN OF UTAH, INC. ",Humana ,Humana Inc. ,No ,100,0,3.5,3,4
H2491 ,Local CCP ,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC. ",Wellcare ,Centene Corporation ,Yes ,100,40,3.5,3,3.5
H2506 ,Demo ,Aetna Better Health Premier Plan MMAI Inc. ,Aetna Better Health Premier Plan ,CVS Health Corporation ,No ,100,0,Not Applicable ,Not enough data available ,Not enough data available
H2509 ,Local CCP ,"UNITEDHEALTHCARE OF FLORIDA, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2526 ,Local CCP ,DEVOTED HEALTH PLAN OF OHIO INC ,Devoted Health ,"Devoted Health, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2531 ,Demo ,"UNITEDHEALTHCARE COMMUNITY PLAN OF OHIO, INC. ",UnitedHealthcare Community Plan ,"UnitedHealth Group, Inc. ",No ,100,0,Not Applicable ,Not enough data available ,Not enough data available
H2533 ,Demo ,"MOLINA HEALTHCARE OF SOUTH CAROLINA, INC. ",Molina Healthcare of South Carolina ,"Molina Healthcare, Inc., ",No ,100,0,Not Applicable ,Not enough data available ,Not enough data available
H2563 ,Local CCP ,OPTIMA HEALTH PLAN ,Optima Medicare ,Sentara Health Care (SHC) ,Yes ,100,0,4,4,4
H2577 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,100,0,3,3,3
H2582 ,Local CCP ,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION INC ,Rocky Mountain Health Plans ,"UnitedHealth Group, Inc. ",Yes ,100,0,3.5,3.5,4
H2591 ,Local CCP ,"HEALTH ALLIANCE - MIDWEST, INC. ",Health Alliance Medicare ,The Carle Foundation ,No ,100,0,Not enough data available ,Not enough data available ,Not enough data available
H2593 ,Local CCP ,"AMERIGROUP TEXAS, INC. ",Amerigroup ,"Elevance Health, Inc. ",Yes ,100,55,3.5,3.5,3.5
H2610 ,Local CCP ,"ESSENCE HEALTHCARE, INC. ",Essence Healthcare ,Essence Group Holdings Corporation ,Yes ,100,0,5,5,5
H2624 ,Local CCP ,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA ,CARE N'' CARE INSURANCE COMPANY OF NORTH CAROLINA ,Moses H. Cone Memorial Hospital Corp. ,Yes ,100,0,Not enough data available ,4,Not enough data available
H2663 ,Local CCP ,"COVENTRY HEALTH CARE OF MISSOURI, INC ",Aetna Medicare ,CVS Health Corporation ,No ,100,0,4,4,4
H2686 ,Local CCP ,DEVOTED HEALTH INSURANCE COMPANY OF HAWAII INC ,Devoted Health ,"Devoted Health, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2694 ,Local CCP ,"ETERNALHEALTH, INC. ",eternalHealth ,"Eternal Health of Delaware, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2697 ,Local CCP ,"DEVOTED HEALTH PLAN OF OHIO, INC. ",Devoted Health ,"Devoted Health, Inc. ",Yes ,0,0,4.5,4.5,5
H2715 ,Local CCP ,MOLINA HEALTHCARE OF ILLINOIS INC ,Molina Healthcare of Illinois ,"Molina Healthcare, Inc., ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2722 ,Local CCP ,"VANTAGE HEALTH PLAN OF ARKANSAS, INC. ",Vantage Health Plan ,Louisiana Health Service & Indemnity Company ,Yes ,100,0,Not enough data available ,3.5,Not enough data available
H2737 ,Local CCP ,"HEALTH NEW ENGLAND, INC. ",Health New England Medicare Advantage Plans ,"Baystate Health, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2752 ,Local CCP ,CIGNA HEALTHCARE OF CONNECTICUT INC. ,Cigna ,CIGNA ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2765 ,Local CCP ,"SUMMIT HEALTH PLAN, INC. ","Summit Health Plan, Inc. ","Moda Partners, Inc. ",No ,0,0,3.5,3.5,3.5
H2775 ,Local CCP ,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY ,Wellcare ,Centene Corporation ,Yes ,100,19,2.5,2.5,2.5
H2782 ,Local CCP ,WESTERN HEALTH ADVANTAGE ,Western Health Advantage ,Western Health Advantage ,No ,0,0,3,3.5,3
H2793 ,Local CCP ,IMPERIAL INSURANCE COMPANIES INC. ,"Imperial Insurance Companies, Inc ",Imperial Health Plan of California ,Yes ,100,37,2,2.5,2.5
H2802 ,Local CCP ,"UNITEDHEALTHCARE OF THE MIDLANDS, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,0,5,4,4.5
H2816 ,PFFS ,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY ,Wellcare ,Centene Corporation ,No ,100,0,3,3.5,3
H2825 ,Local CCP ,MARY WASHINGTON HEALTH PLAN ,Mary Washington Medicare Advantage ,Mary Washington Healthcare ,No ,100,0,3.5,3.5,3
H2836 ,Local CCP ,"ANTHEM HEALTH PLANS, INC. ",Anthem Blue Cross and Blue Shield ,"Elevance Health, Inc. ",Yes ,0,0,3,3,3
H2853 ,Local CCP ,CENTENE VENTURE COMPANY TENNESSEE ,Ascension Complete ,Centene Corporation ,No ,0,0,Not enough data available ,2.5,Not enough data available
H2879 ,Local CCP ,"MOLINA HEALTHCARE OF WISCONSIN, INC. ",Molina Healthcare of Wisconsin and Massachusetts ,"Molina Healthcare, Inc., ",Yes ,100,0,3,2.5,3
H2915 ,Local CCP ,"PENNSYLVANIA HEALTH & WELLNESS, INC. ",Wellcare by Allwell ,Centene Corporation ,Yes ,100,0,2.5,3,2.5
H2923 ,Local CCP ,DEVOTED HEALTH PLAN OF OREGON INC ,Devoted Health ,"Devoted Health, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2926 ,Local CCP ,PRIMEWEST RURAL MN HEALTH CARE ACCESS INITIATIVE ,PrimeWest Health ,PrimeWest Rural MN Health Care Access Initiative ,Yes ,100,0,Not enough data available ,Not enough data available ,Not enough data available
H2942 ,Local CCP ,COX HEALTH SYSTEMS HMO INC ,Cox HealthPlans ,CoxHealth ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2944 ,PFFS ,HUMANA INSURANCE COMPANY ,Humana ,Humana Inc. ,No ,100,0,3.5,3,3.5
H2960 ,Local CCP ,"HOMETOWN HEALTH PLAN, INC. ",Senior Care Plus ,Renown Health ,Yes ,100,0,4.5,3.5,4
H2962 ,Local CCP ,"ULTIMATE HEALTH PLANS, INC. ",Ultimate Health Plans ,"Ultimate Healthcare Holdings, LLC ",Yes ,100,0,3.5,3.5,3.5
H2986 ,Local CCP ,"Essence Healthcare of California, Inc. ",Essence Healthcare ,Essence Group Holdings Corporation ,No ,100,0,4,3,3.5
H3015 ,Local CCP ,"SHARED HEALTH MISSISSIPPI, INC. ",Shared Health Dual Plus ,BlueCross BlueShield of Tennessee ,Yes ,0,2,Not enough data available ,Not enough data available ,Not enough data available
H3041 ,Local CCP ,DEVOTED HEALTH PLAN OF SOUTH CAROLINA INC ,Devoted Health ,"Devoted Health, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3047 ,Local CCP ,WELLCARE HEALTH INSURANCE COMPANY OF LOUISIANA ,Wellcare ,Centene Corporation ,No ,0,61,2.5,1.5,2
H3071 ,Local CCP ,"CLEAR SPRING HEALTH COMMUNITY CARE, INC. ",Clear Spring Health ,Group 1001 ,No ,100,0,3,2.5,3
H3080 ,Local CCP ,DEVOTED HEALTH PLAN OF ALABAMA INC ,Devoted Health ,"Devoted Health, Inc. ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3113 ,Local CCP ,"OXFORD HEALTH PLANS (NJ), INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,37,4,4,4
H3132 ,Local CCP ,"AHF MCO OF FLORIDA, INC. ",AHF ,AIDS Healthcare Foundation ,Yes ,100,0,3.5,4.5,4
H3146 ,Local CCP ,AETNA BETTER HEALTH INC. (GA) ,Aetna Medicare ,CVS Health Corporation ,Yes ,100,0,4,3,4
H3152 ,Local CCP ,AETNA HEALTH INC. (NJ) ,Aetna Medicare ,CVS Health Corporation ,No ,100,43,3.5,3.5,3.5
H3170 ,Local CCP ,"SAPPHIRE EDGE, INC. ",Blue Cross and Blue Shield of Nebraska ,Blue Cross Blue Shield of Nebraska ,No ,100,0,3.5,3.5,4
H3186 ,Local CCP ,SANFORD HEALTH PLAN OF MINNESOTA ,Sanford Health Plan of Minnesota ,Sanford Health ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3189 ,Local CCP ,"ESSENCE HEALTHCARE OF OHIO, INC. ",Essence Healthcare ,Essence Group Holdings Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3192 ,Local CCP ,AETNA HEALTH OF MICHIGAN INC. ,Aetna Medicare ,CVS Health Corporation ,Yes ,100,0,3.5,3,3.5
H3204 ,Local CCP ,PRESBYTERIAN HEALTH PLAN ,Presbyterian Health Plan ,Presbyterian Healthcare Services ,Yes ,100,0,3.5,3.5,3.5
H3206 ,Local CCP ,"PRESBYTERIAN INSURANCE COMPANY, INC. ","Presbyterian Insurance Company, Inc. ",Presbyterian Healthcare Services ,No ,100,0,2.5,3.5,3
H3219 ,Local CCP ,ALLINA HEALTH AND AETNA INSURANCE COMPANY ,Allina Health Aetna Medicare ,Allina Health and Aetna Insurance Holding Company ,No ,100,0,4,3.5,4
H3239 ,Local CCP ,"AETNA BETTER HEALTH, INC. (LA) ",Aetna Medicare ,CVS Health Corporation ,Yes ,100,32,4.5,3.5,4
H3240 ,Local CCP ,"AMERIGROUP NEW JERSEY, INC. ",Amerigroup Community Care ,"Elevance Health, Inc. ",Yes ,100,69,3.5,3,3.5
H3251 ,Local CCP ,HEALTH CARE SERVICE CORPORATION ,Blue Cross and Blue Shield of New Mexico ,Health Care Service Corporation ,Yes ,100,0,3,3,3
H3256 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,4.5,3.5,4
H3259 ,Local CCP ,VOLUNTEER STATE HEALTH PLAN ,BlueCare Plus Tennessee ,BlueCross BlueShield of Tennessee ,Yes ,100,0,4.5,3.5,4
H3274 ,Local CCP ,ALIGN SENIOR CARE CALIFORNIA INC. ,Align Senior Care ,"Innovative Long Term Care Management, Inc. ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3276 ,Local CCP ,"CONNECTICARE INSURANCE COMPANY, INC. ",ConnectiCare ,"EmblemHealth, Inc. ",Yes ,100,0,2.5,2.5,2.5
H3281 ,Local CCP ,BRIGHT HEALTH INSURANCE COMPANY OF FLORIDA ,Bright Health ,"Bright Health Group, Inc. ",No ,100,0,Not enough data available ,2.5,Not enough data available
H3288 ,Local CCP ,AETNA HEALTH AND LIFE INSURANCE COMPANY ,Aetna Medicare ,CVS Health Corporation ,No ,100,48,4,3,3.5
H3291 ,Local CCP ,"PRUITTHEALTH PREMIER, INC. ",PruittHealth Premier ,"UNICO Premier, LLC ",Yes ,100,0,Not enough data available ,5,Not enough data available
H3305 ,Local CCP ,"MVP HEALTH PLAN, INC. ",MVP HEALTH CARE ,"MVP Health Care, Inc. ",Yes ,100,8,5,5,5
H3307 ,Local CCP ,"OXFORD HEALTH PLANS (NY), INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,100,80,3.5,3.5,3.5
H3312 ,Local CCP ,AETNA HEALTH INC. (NY) ,Aetna Medicare ,CVS Health Corporation ,Yes ,100,47,3.5,3.5,3.5
H3330 ,Local CCP ,HEALTH INSURANCE PLAN OF GREATER NEW YORK ,EmblemHealth Medicare HMO ,"EmblemHealth, Inc. ",Yes ,100,89,3,3.5,3
H3335 ,Local CCP ,"EXCELLUS HEALTH PLAN, INC. ","Excellus Health Plan, Inc ","Lifetime Healthcare, Inc. ",No ,100,0,3.5,4,4
H3342 ,Local CCP ,"EMPIRE HEALTHCHOICE ASSURANCE, INC. ",Empire BlueCross BlueShield ,"Elevance Health, Inc. ",No ,100,0,Not enough data available ,3.5,Not enough data available
H3344 ,Local CCP ,INDEPENDENT HEALTH BENEFITS CORPORATION ,Independent Health ,"Independent Health Association, Inc. ",No ,100,0,5,5,5
H3347 ,Local CCP ,"ELDERPLAN, INC. ",Elderplan ,"Elderplan, Inc. ",Yes ,100,85,3.5,3.5,3.5
H3351 ,Local CCP ,"EXCELLUS HEALTH PLAN, INC. ","Excellus Health Plan, Inc ","Lifetime Healthcare, Inc. ",No ,100,0,5,5,5
H3359 ,Local CCP ,"HEALTHFIRST HEALTH PLAN, INC. ",Healthfirst Medicare Plan ,"Healthfirst, Inc. ",Yes ,100,79,3.5,4,3.5
H3362 ,Local CCP ,"INDEPENDENT HEALTH ASSOCIATION, INC. ",Independent Health ,"Independent Health Association, Inc. ",Yes ,100,0,5,5,5
H3379 ,Local CCP ,"UNITEDHEALTHCARE OF NEW YORK, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,28,4,4,4
H3384 ,Local CCP ,Highmark Western and Northeastern New York Inc. ,Highmark BCBS of WNY and Highmark BS of NENY ,Highmark Health ,No ,100,0,4,4,4
H3387 ,Local CCP ,"UNITEDHEALTHCARE OF NEW YORK, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,59,4,4.5,4
H3388 ,Local CCP ,"CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC. ",CDPHP Medicare Advantage ,"Capital District Physicians' Health Plan, Inc. ",Yes ,100,0,5,4.5,5
H3404 ,Local CCP ,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA ,Blue Cross and Blue Shield of North Carolina ,Blue Cross and Blue Shield of North Carolina ,No ,100,0,4.5,4.5,4.5
H3407 ,Local CCP ,"EL PASO FIRST HEALTH PLANS, INC. ",El Paso Health Advantage Dual SNP ,El Paso County Hospital District ,Yes ,100,0,Not enough data available ,Not enough data available ,Not enough data available
H3416 ,Local CCP ,"HEALTHPARTNERS UNITYPOINT HEALTH, INC. ",HealthPartners UnityPoint Health ,"HealthPartners UnityPoint Health, Inc. ",No ,100,0,5,4.5,4.5
H3418 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,100,79,3,4,3.5
H3419 ,Local CCP ,"PERENNIAL ADVANTAGE OF COLORADO, INC. ",Perennial Advantage ,"Perennial Consortium, LLC ",Yes ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H3442 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,100,0,3.5,3,3
H3443 ,Local CCP ,"ALIGNMENT HEALTH PLAN OF ARIZONA, INC. ",Alignment Health Plan ,"Alignment Healthcare USA, LLC ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3447 ,Local CCP ,"HEALTHKEEPERS, INC. ",Anthem HealthKeepers ,"Elevance Health, Inc. ",Yes ,100,0,4,3.5,4
H3449 ,Local CCP ,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA ,Blue Cross and Blue Shield of North Carolina ,Blue Cross and Blue Shield of North Carolina ,No ,100,0,4.5,4.5,4.5
H3464 ,Local CCP ,"UNITEDHEALTHCARE OF THE MIDLANDS, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,100,0,3.5,3,3.5
H3467 ,Local CCP ,"PROCARE ADVANTAGE, LLC ",ProCare Advantage ,First Sacramento Capital Funding LLC ,Yes ,100,100,Not enough data available ,4,Not enough data available
H3471 ,Local CCP ,HEALTH ALLIANCE NORTHWEST HEALTH PLAN ,Health Alliance Northwest ,The Carle Foundation ,No ,100,0,3.5,3.5,3
H3499 ,Local CCP ,COORDINATED CARE CORPORATION ,Wellcare by Allwell ,Centene Corporation ,Yes ,100,0,3,2.5,3
H3528 ,Local CCP ,"CONNECTICARE, INC. ",ConnectiCare ,"EmblemHealth, Inc. ",No ,100,0,3.5,4,3.5
H3533 ,Local CCP ,"HUMANA HEALTH COMPANY OF NEW YORK, INC. ",Humana ,Humana Inc. ,Yes ,100,56,4,3.5,4
H3536 ,Local CCP ,"MATTHEW THORNTON HEALTH PLAN, INC. ",Anthem Blue Cross and Blue Shield ,"Elevance Health, Inc. ",No ,100,0,3,3.5,3
H3554 ,Local CCP ,USABLE PPO INSURANCE COMPANY ,Arkansas Blue Medicare ,USAble Mutual Insurance Company ,No ,0,0,3.5,4,3.5
H3557 ,Local CCP ,BLUE CROSS & BLUE SHIELD OF RHODE ISLAND ,Blue Cross & Blue Shield of Rhode Island ,Blue Cross & Blue Shield of Rhode Island ,No ,100,0,4.5,4.5,5
H3561 ,Local CCP ,"HEALTH NET COMMUNITY SOLUTIONS, INC. ",Wellcare by Health Net ,Centene Corporation ,Yes ,100,0,3,3,3
H3597 ,Local CCP ,AETNA HEALTH INC. (ME) ,Aetna Medicare ,CVS Health Corporation ,Yes ,100,0,4,4,4
H3632 ,Local CCP ,MEDICA COMMUNITY HEALTH PLAN ,Medica ,Medica Holding Company ,No ,100,0,Not enough data available ,Not enough data available ,Not enough data available
H3653 ,Local CCP ,"PARAMOUNT CARE, INC. ",Paramount Elite Medicare Plans ,"Promedica Health System, Inc. ",No ,100,0,5,3.5,4.5
H3655 ,Local CCP ,COMMUNITY INSURANCE COMPANY ,Anthem Blue Cross and Blue Shield ,"Elevance Health, Inc. ",Yes ,100,0,4,3.5,4
H3660 ,Local CCP ,SUMMACARE INC. ,SummaCare Medicare Advantage Plans ,Summa Health ,No ,100,0,5,4.5,5
H3664 ,Local CCP ,AULTCARE HEALTH INSURING CORPORATION ,PrimeTime Health Plan ,Aultman Health Foundation ,No ,100,0,4.5,4,5
H3668 ,Local CCP ,"MOUNT CARMEL HEALTH PLAN, INC. ",MediGold ,Trinity Health Corporation ,No ,100,0,4.5,3.5,4.5
H3672 ,Local CCP ,"THE HEALTH PLAN OF WEST VIRGINIA, INC. ",The Health Plan ,"The Health Plan of West Virginia, Inc. ",Yes ,100,0,4,4.5,4.5
H3706 ,Local CCP ,"GLOBALHEALTH, INC. ",GlobalHealth ,"MHH Healthcare, L.P. ",Yes ,100,0,4.5,4.5,4.5
H3708 ,Local CCP ,"OKLAHOMA SUPERIOR SELECT, INC. ",American Health Advantage of Oklahoma ,Mitchell Family Office ,Yes ,100,0,Not enough data available ,4,Not enough data available
H3727 ,Local CCP ,OH CHS SNP INC. ,Communicare Advantage ,"SNP Holdings, LLC ",Yes ,0,0,Not enough data available ,3.5,Not enough data available
H3748 ,Local CCP ,"AETNA BETTER HEALTH OF WASHINGTON, INC. ",Aetna Medicare ,CVS Health Corporation ,No ,100,0,3.5,3,3
H3749 ,Local CCP ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,100,0,4.5,3.5,4.5
H3755 ,Local CCP ,"COMMUNITYCARE GOVERNMENT PROGRAMS, INC. ",CommunityCare Senior Health Plan (HMO) ,St Francis Health System & St John Health System ,No ,100,0,4.5,3.5,4
H3777 ,Local CCP ,"EXPERIENCE HEALTH, INC. ","Experience Health, Inc. ","EXPERIENCE HEALTH, INC. ",No ,100,0,5,4,4.5
H3794 ,Local CCP ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,0,4.5,4,4.5
H3800 ,Local CCP ,PROVIDER PARTNERS HEALTH PLAN OF ILLINOIS ,Provider Partners Health Plans ,"Rifkin Managed Care Holding, LLC ",Yes ,100,0,4,3.5,4
H3805 ,Local CCP ,"UnitedHealthcare Benefits of Texas, Inc. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,100,0,3.5,3.5,3.5
H3810 ,Local CCP ,"ALLCARE HEALTH PLAN, INC. ",AllCare Advantage ,"AllCare Health, Inc. ",Yes ,100,0,3,4,3.5
H3811 ,Local CCP ,"SAMARITAN HEALTH PLANS, INC. ",Samaritan Advantage Health Plan ,Samaritan Health Services ,Yes ,100,0,3.5,3,3.5
H3813 ,Local CCP ,"MODA HEALTH PLAN, INC. ","Moda Health Plan, Inc. ","Moda Partners, Inc. ",No ,100,0,4,3.5,3.5
H3814 ,Local CCP ,ATRIO HEALTH PLANS ,ATRIO Health Plans ,ATRIO Health Plans ,Yes ,100,0,3,3,3
H3815 ,Local CCP ,ALIGNMENT HEALTH PLAN ,Alignment Health Plan ,"Alignment Healthcare USA, LLC ",Yes ,100,0,3.5,4,4
H3817 ,Local CCP ,REGENCE BLUECROSS BLUESHIELD OF OREGON ,Regence BlueCross BlueShield of Oregon ,"Cambia Health Solutions, Inc. ",No ,100,0,4,3.5,4
H3822 ,Local CCP ,HEALTH CARE SERVICE CORPORATION ,"Blue Cross and Blue Shield of IL, NM ",Health Care Service Corporation ,No ,100,0,3.5,3.5,3.5
