CONTRACT_ID,Organization Marketing Name,Contract Name,Parent Organization,"Problems Getting Needed Care, Coverage, and Cost Information",Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
H2292 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2293 ,Aetna Medicare ,SILVERSCRIPT INSURANCE COMPANY ,CVS Health Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2320 ,Priority Health Medicare ,PRIORITY HEALTH ,BHSH ,6%,3%,32%,6%,4%
H2322 ,HAP Senior Plus (PPO) ,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY ,Henry Ford Health System ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2334 ,Clear Spring Health ,"CLEAR SPRING HEALTH (SC), INC. ",Group 1001 ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2354 ,HAP Senior Plus ,HEALTH ALLIANCE PLAN OF MICHIGAN ,Henry Ford Health System ,21%,21%,29%,Not Available ,13%
H2392 ,Kansas Health Advantage ,"KANSAS SUPERIOR SELECT, INC. ",Kansas Superior Select ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2400 ,Signature Advantage (HMO SNP) ,"SIGNATURE ADVANTAGE, LLC ","SA Plan, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2406 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",13%,14%,21%,9%,11%
H2416 ,PrimeWest Health ,PRIMEWEST RURAL MN HEALTH CARE ACCESS INITIATIVE ,PrimeWest Rural MN Health Care Access Initiative ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2417 ,Itasca Medical Care/IMCare Classic ,ITASCA MEDICAL CARE ,Itasca County ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2419 ,South Country Health Alliance ,SOUTH COUNTRY HEALTH ALLIANCE ,South Country Health Alliance ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2422 ,HealthPartners ,"HEALTHPARTNERS, INC. ","HealthPartners, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2425 ,Blue Plus ,HMO Minnesota ,"Aware Integrated, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2450 ,Medica ,MEDICA INSURANCE COMPANY ,Medica Holding Company ,9%,3%,40%,Not Available ,8%
H2456 ,UCare's MSHO ,UCARE MINNESOTA ,UCare Minnesota ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2458 ,Medica ,MEDICA HEALTH PLANS ,Medica Holding Company ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2459 ,UCare ,UCARE MINNESOTA ,UCare Minnesota ,7%,11%,30%,9%,8%
H2461 ,Blue Cross and Blue Shield of Minnesota ,"BCBSM, Inc. ","Aware Integrated, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2462 ,HealthPartners ,"GROUP HEALTH PLAN, INC. (MN) ","HealthPartners, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2463 ,Humana ,"HUMANA HEALTH PLAN OF TEXAS, INC. ",Humana Inc. ,14%,23%,21%,Not Available ,10%
H2478 ,Molina Healthcare of Nevada ,MOLINA HEALTHCARE OF NEVADA INC ,"Molina Healthcare, Inc., ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2486 ,Humana ,"HUMANA MEDICAL PLAN OF UTAH, INC. ",Humana Inc. ,25%,31%,19%,Not Available ,21%
H2491 ,Wellcare ,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC. ",Centene Corporation ,20%,29%,18%,Not Available ,16%
H2509 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF FLORIDA, INC. ","UnitedHealth Group, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2526 ,Devoted Health ,DEVOTED HEALTH PLAN OF OHIO INC ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2563 ,Optima Medicare ,OPTIMA HEALTH PLAN ,Sentara Health Care (SHC) ,30%,45%,28%,19%,19%
H2577 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",15%,10%,29%,Not Available ,14%
H2582 ,Rocky Mountain Health Plans ,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION INC ,"UnitedHealth Group, Inc. ",25%,37%,17%,7%,13%
H2591 ,Health Alliance Medicare ,"HEALTH ALLIANCE - MIDWEST, INC. ",The Carle Foundation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2593 ,Amerigroup ,"AMERIGROUP TEXAS, INC. ","Elevance Health, Inc. ",11%,24%,18%,Not Available ,13%
H2610 ,Essence Healthcare ,"ESSENCE HEALTHCARE, INC. ",Essence Group Holdings Corporation ,9%,21%,6%,5%,7%
H2624 ,CARE N'' CARE INSURANCE COMPANY OF NORTH CAROLINA ,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA ,Moses H. Cone Memorial Hospital Corp. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2663 ,Aetna Medicare ,"COVENTRY HEALTH CARE OF MISSOURI, INC ",CVS Health Corporation ,16%,38%,19%,8%,13%
H2686 ,Devoted Health ,DEVOTED HEALTH INSURANCE COMPANY OF HAWAII INC ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2694 ,eternalHealth ,"ETERNALHEALTH, INC. ","Eternal Health of Delaware, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2697 ,Devoted Health ,"DEVOTED HEALTH PLAN OF OHIO, INC. ","Devoted Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2715 ,Molina Healthcare of Illinois ,MOLINA HEALTHCARE OF ILLINOIS INC ,"Molina Healthcare, Inc., ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2722 ,Vantage Health Plan ,"VANTAGE HEALTH PLAN OF ARKANSAS, INC. ",Louisiana Health Service & Indemnity Company ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2737 ,Health New England Medicare Advantage Plans ,"HEALTH NEW ENGLAND, INC. ","Baystate Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2752 ,Cigna ,CIGNA HEALTHCARE OF CONNECTICUT INC. ,CIGNA ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2765 ,"Summit Health Plan, Inc. ","SUMMIT HEALTH PLAN, INC. ","Moda Partners, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2775 ,Wellcare ,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY ,Centene Corporation ,38%,30%,27%,19%,23%
H2782 ,Western Health Advantage ,WESTERN HEALTH ADVANTAGE ,Western Health Advantage ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2793 ,"Imperial Insurance Companies, Inc ",IMPERIAL INSURANCE COMPANIES INC. ,Imperial Health Plan of California ,42%,51%,8%,Not Available ,28%
H2802 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF THE MIDLANDS, INC. ","UnitedHealth Group, Inc. ",13%,10%,17%,5%,8%
H2816 ,Wellcare ,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY ,Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2825 ,Mary Washington Medicare Advantage ,MARY WASHINGTON HEALTH PLAN ,Mary Washington Healthcare ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2836 ,Anthem Blue Cross and Blue Shield ,"ANTHEM HEALTH PLANS, INC. ","Elevance Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2853 ,Ascension Complete ,CENTENE VENTURE COMPANY TENNESSEE ,Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2879 ,Molina Healthcare of Wisconsin and Massachusetts ,"MOLINA HEALTHCARE OF WISCONSIN, INC. ","Molina Healthcare, Inc., ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2915 ,Wellcare by Allwell ,"PENNSYLVANIA HEALTH & WELLNESS, INC. ",Centene Corporation ,25%,27%,28%,17%,16%
H2923 ,Devoted Health ,DEVOTED HEALTH PLAN OF OREGON INC ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2926 ,PrimeWest Health ,PRIMEWEST RURAL MN HEALTH CARE ACCESS INITIATIVE ,PrimeWest Rural MN Health Care Access Initiative ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2942 ,Cox HealthPlans ,COX HEALTH SYSTEMS HMO INC ,CoxHealth ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2944 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2960 ,Senior Care Plus ,"HOMETOWN HEALTH PLAN, INC. ",Renown Health ,14%,34%,21%,Not Available ,12%
H2962 ,Ultimate Health Plans ,"ULTIMATE HEALTH PLANS, INC. ","Ultimate Healthcare Holdings, LLC ",24%,34%,12%,7%,14%
H2986 ,Essence Healthcare ,"Essence Healthcare of California, Inc. ",Essence Group Holdings Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3015 ,Shared Health Dual Plus ,"SHARED HEALTH MISSISSIPPI, INC. ",BlueCross BlueShield of Tennessee ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3041 ,Devoted Health ,DEVOTED HEALTH PLAN OF SOUTH CAROLINA INC ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3047 ,Wellcare ,WELLCARE HEALTH INSURANCE COMPANY OF LOUISIANA ,Centene Corporation ,30%,44%,20%,Not Available ,23%
H3071 ,Clear Spring Health ,"CLEAR SPRING HEALTH COMMUNITY CARE, INC. ",Group 1001 ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3080 ,Devoted Health ,DEVOTED HEALTH PLAN OF ALABAMA INC ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3113 ,UnitedHealthcare ,"OXFORD HEALTH PLANS (NJ), INC. ","UnitedHealth Group, Inc. ",13%,23%,6%,8%,12%
H3132 ,AHF ,"AHF MCO OF FLORIDA, INC. ",AIDS Healthcare Foundation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3146 ,Aetna Medicare ,AETNA BETTER HEALTH INC. (GA) ,CVS Health Corporation ,13%,22%,11%,7%,11%
H3152 ,Aetna Medicare ,AETNA HEALTH INC. (NJ) ,CVS Health Corporation ,21%,20%,32%,Not Available ,14%
H3170 ,Blue Cross and Blue Shield of Nebraska ,"SAPPHIRE EDGE, INC. ",Blue Cross Blue Shield of Nebraska ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3186 ,Sanford Health Plan of Minnesota ,SANFORD HEALTH PLAN OF MINNESOTA ,Sanford Health ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3189 ,Essence Healthcare ,"ESSENCE HEALTHCARE OF OHIO, INC. ",Essence Group Holdings Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3192 ,Aetna Medicare ,AETNA HEALTH OF MICHIGAN INC. ,CVS Health Corporation ,12%,25%,16%,Not Available ,12%
H3204 ,Presbyterian Health Plan ,PRESBYTERIAN HEALTH PLAN ,Presbyterian Healthcare Services ,22%,31%,13%,Not Available ,15%
H3206 ,"Presbyterian Insurance Company, Inc. ","PRESBYTERIAN INSURANCE COMPANY, INC. ",Presbyterian Healthcare Services ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3219 ,Allina Health Aetna Medicare ,ALLINA HEALTH AND AETNA INSURANCE COMPANY ,Allina Health and Aetna Insurance Holding Company ,19%,22%,26%,Not Available ,16%
H3239 ,Aetna Medicare ,"AETNA BETTER HEALTH, INC. (LA) ",CVS Health Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3240 ,Amerigroup Community Care ,"AMERIGROUP NEW JERSEY, INC. ","Elevance Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3251 ,Blue Cross and Blue Shield of New Mexico ,HEALTH CARE SERVICE CORPORATION ,Health Care Service Corporation ,30%,34%,20%,Not Available ,20%
H3256 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",6%,22%,8%,6%,6%
H3259 ,BlueCare Plus Tennessee ,VOLUNTEER STATE HEALTH PLAN ,BlueCross BlueShield of Tennessee ,18%,27%,14%,Not Available ,10%
H3274 ,Align Senior Care ,ALIGN SENIOR CARE CALIFORNIA INC. ,"Innovative Long Term Care Management, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3276 ,ConnectiCare ,"CONNECTICARE INSURANCE COMPANY, INC. ","EmblemHealth, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3281 ,Bright Health ,BRIGHT HEALTH INSURANCE COMPANY OF FLORIDA ,"Bright Health Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3288 ,Aetna Medicare ,AETNA HEALTH AND LIFE INSURANCE COMPANY ,CVS Health Corporation ,15%,15%,31%,Not Available ,12%
H3291 ,PruittHealth Premier ,"PRUITTHEALTH PREMIER, INC. ","UNICO Premier, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3305 ,MVP HEALTH CARE ,"MVP HEALTH PLAN, INC. ","MVP Health Care, Inc. ",9%,7%,39%,9%,6%
H3307 ,UnitedHealthcare ,"OXFORD HEALTH PLANS (NY), INC. ","UnitedHealth Group, Inc. ",19%,21%,29%,Not Available ,11%
H3312 ,Aetna Medicare ,AETNA HEALTH INC. (NY) ,CVS Health Corporation ,18%,33%,19%,Not Available ,14%
H3330 ,EmblemHealth Medicare HMO ,HEALTH INSURANCE PLAN OF GREATER NEW YORK ,"EmblemHealth, Inc. ",22%,22%,23%,Not Available ,14%
H3335 ,"Excellus Health Plan, Inc ","EXCELLUS HEALTH PLAN, INC. ","Lifetime Healthcare, Inc. ",6%,7%,25%,5%,4%
H3342 ,Empire BlueCross BlueShield ,"EMPIRE HEALTHCHOICE ASSURANCE, INC. ","Elevance Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3344 ,Independent Health ,INDEPENDENT HEALTH BENEFITS CORPORATION ,"Independent Health Association, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3347 ,Elderplan ,"ELDERPLAN, INC. ","Elderplan, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3351 ,"Excellus Health Plan, Inc ","EXCELLUS HEALTH PLAN, INC. ","Lifetime Healthcare, Inc. ",12%,10%,32%,8%,6%
H3359 ,Healthfirst Medicare Plan ,"HEALTHFIRST HEALTH PLAN, INC. ","Healthfirst, Inc. ",19%,21%,27%,19%,16%
H3362 ,Independent Health ,"INDEPENDENT HEALTH ASSOCIATION, INC. ","Independent Health Association, Inc. ",12%,13%,28%,7%,8%
H3379 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF NEW YORK, INC. ","UnitedHealth Group, Inc. ",10%,8%,19%,7%,8%
H3384 ,Highmark BCBS of WNY and Highmark BS of NENY ,Highmark Western and Northeastern New York Inc. ,Highmark Health ,10%,16%,19%,9%,5%
H3387 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF NEW YORK, INC. ","UnitedHealth Group, Inc. ",17%,37%,11%,Not Available ,12%
H3388 ,CDPHP Medicare Advantage ,"CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC. ","Capital District Physicians' Health Plan, Inc. ",6%,9%,32%,7%,6%
H3404 ,Blue Cross and Blue Shield of North Carolina ,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA ,Blue Cross and Blue Shield of North Carolina ,7%,10%,35%,Not Available ,6%
H3407 ,El Paso Health Advantage Dual SNP ,"EL PASO FIRST HEALTH PLANS, INC. ",El Paso County Hospital District ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3416 ,HealthPartners UnityPoint Health ,"HEALTHPARTNERS UNITYPOINT HEALTH, INC. ","HealthPartners UnityPoint Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3418 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",21%,34%,27%,9%,16%
H3419 ,Perennial Advantage ,"PERENNIAL ADVANTAGE OF COLORADO, INC. ","Perennial Consortium, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3442 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",17%,17%,20%,Not Available ,16%
H3443 ,Alignment Health Plan ,"ALIGNMENT HEALTH PLAN OF ARIZONA, INC. ","Alignment Healthcare USA, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3447 ,Anthem HealthKeepers ,"HEALTHKEEPERS, INC. ","Elevance Health, Inc. ",14%,15%,18%,Not Available ,15%
H3449 ,Blue Cross and Blue Shield of North Carolina ,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA ,Blue Cross and Blue Shield of North Carolina ,6%,3%,21%,Not Available ,8%
H3464 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF THE MIDLANDS, INC. ","UnitedHealth Group, Inc. ",22%,17%,24%,Not Available ,14%
H3467 ,ProCare Advantage ,"PROCARE ADVANTAGE, LLC ",First Sacramento Capital Funding LLC ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3471 ,Health Alliance Northwest ,HEALTH ALLIANCE NORTHWEST HEALTH PLAN ,The Carle Foundation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3499 ,Wellcare by Allwell ,COORDINATED CARE CORPORATION ,Centene Corporation ,23%,27%,15%,Not Available ,18%
H3528 ,ConnectiCare ,"CONNECTICARE, INC. ","EmblemHealth, Inc. ",13%,11%,32%,10%,10%
H3533 ,Humana ,"HUMANA HEALTH COMPANY OF NEW YORK, INC. ",Humana Inc. ,18%,39%,28%,Not Available ,15%
H3536 ,Anthem Blue Cross and Blue Shield ,"MATTHEW THORNTON HEALTH PLAN, INC. ","Elevance Health, Inc. ",23%,14%,29%,Not Available ,10%
H3554 ,Arkansas Blue Medicare ,USABLE PPO INSURANCE COMPANY ,USAble Mutual Insurance Company ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3557 ,Blue Cross & Blue Shield of Rhode Island ,BLUE CROSS & BLUE SHIELD OF RHODE ISLAND ,Blue Cross & Blue Shield of Rhode Island ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3561 ,Wellcare by Health Net ,"HEALTH NET COMMUNITY SOLUTIONS, INC. ",Centene Corporation ,Not Available ,22%,18%,Not Available ,17%
H3597 ,Aetna Medicare ,AETNA HEALTH INC. (ME) ,CVS Health Corporation ,11%,10%,21%,10%,11%
H3632 ,Medica ,MEDICA COMMUNITY HEALTH PLAN ,Medica Holding Company ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3653 ,Paramount Elite Medicare Plans ,"PARAMOUNT CARE, INC. ","Promedica Health System, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3655 ,Anthem Blue Cross and Blue Shield ,COMMUNITY INSURANCE COMPANY ,"Elevance Health, Inc. ",12%,11%,24%,Not Available ,15%
H3660 ,SummaCare Medicare Advantage Plans ,SUMMACARE INC. ,Summa Health ,14%,14%,26%,Not Available ,9%
H3664 ,PrimeTime Health Plan ,AULTCARE HEALTH INSURING CORPORATION ,Aultman Health Foundation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3668 ,MediGold ,"MOUNT CARMEL HEALTH PLAN, INC. ",Trinity Health Corporation ,9%,31%,24%,10%,9%
H3672 ,The Health Plan ,"THE HEALTH PLAN OF WEST VIRGINIA, INC. ","The Health Plan of West Virginia, Inc. ",8%,14%,23%,Not Available ,7%
H3706 ,GlobalHealth ,"GLOBALHEALTH, INC. ","MHH Healthcare, L.P. ",27%,38%,20%,Not Available ,13%
H3708 ,American Health Advantage of Oklahoma ,"OKLAHOMA SUPERIOR SELECT, INC. ",Mitchell Family Office ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3727 ,Communicare Advantage ,OH CHS SNP INC. ,"SNP Holdings, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3748 ,Aetna Medicare ,"AETNA BETTER HEALTH OF WASHINGTON, INC. ",CVS Health Corporation ,19%,20%,27%,Not Available ,13%
H3749 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ","UnitedHealth Group, Inc. ",10%,15%,24%,8%,9%
H3755 ,CommunityCare Senior Health Plan (HMO) ,"COMMUNITYCARE GOVERNMENT PROGRAMS, INC. ",St Francis Health System & St John Health System ,15%,31%,20%,Not Available ,10%
H3777 ,"Experience Health, Inc. ","EXPERIENCE HEALTH, INC. ","EXPERIENCE HEALTH, INC. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3794 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3800 ,Provider Partners Health Plans ,PROVIDER PARTNERS HEALTH PLAN OF ILLINOIS ,"Rifkin Managed Care Holding, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3805 ,UnitedHealthcare ,"UnitedHealthcare Benefits of Texas, Inc. ","UnitedHealth Group, Inc. ",14%,13%,22%,7%,10%
H3810 ,AllCare Advantage ,"ALLCARE HEALTH PLAN, INC. ","AllCare Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3811 ,Samaritan Advantage Health Plan ,"SAMARITAN HEALTH PLANS, INC. ",Samaritan Health Services ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3813 ,"Moda Health Plan, Inc. ","MODA HEALTH PLAN, INC. ","Moda Partners, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3814 ,ATRIO Health Plans ,ATRIO HEALTH PLANS ,ATRIO Health Plans ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3815 ,Alignment Health Plan ,ALIGNMENT HEALTH PLAN ,"Alignment Healthcare USA, LLC ",18%,25%,19%,Not Available ,14%
H3817 ,Regence BlueCross BlueShield of Oregon ,REGENCE BLUECROSS BLUESHIELD OF OREGON ,"Cambia Health Solutions, Inc. ",7%,8%,31%,Not Available ,5%
H3822 ,"Blue Cross and Blue Shield of IL, NM ",HEALTH CARE SERVICE CORPORATION ,Health Care Service Corporation ,32%,31%,23%,Not Available ,17%
H3828 ,Saint Alphonsus Health Plan ,"MOUNT CARMEL HEALTH PLAN OF IDAHO, INC. ",Trinity Health Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3832 ,HMSA Akamai Advantage ,HAWAII MEDICAL SERVICE ASSOCIATION ,Hawaii Medical Service Association ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3864 ,PacificSource Medicare ,PACIFICSOURCE COMMUNITY HEALTH PLANS ,PacificSource ,6%,13%,25%,8%,6%
H3890 ,Johns Hopkins Advantage MD ,"HOPKINS HEALTH ADVANTAGE, INC. ",Johns Hopkins Healthcare LLC ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3907 ,UPMC for Life ,"UPMC HEALTH PLAN, INC. ",UPMC Health System ,9%,11%,24%,6%,7%
H3909 ,Independence Blue Cross ,QCC INSURANCE COMPANY ,"Independence Health Group, Inc. ",15%,16%,29%,Not Available ,10%
H3916 ,Highmark Inc. ,HIGHMARK SENIOR HEALTH COMPANY ,Highmark Health ,16%,9%,32%,Not Available ,9%
H3923 ,Capital Blue Cross ,CAPITAL ADVANTAGE INSURANCE COMPANY ,CAPITAL BLUE CROSS ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3924 ,Geisinger Gold ,GEISINGER INDEMNITY INSURANCE COMPANY ,Geisinger Health ,18%,15%,27%,6%,7%
H3928 ,Aetna Medicare ,AETNA HEALTH INC. (LA) ,CVS Health Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H3931 ,Aetna Medicare ,AETNA HEALTH INC. (PA) ,CVS Health Corporation ,15%,16%,25%,Not Available ,10%
H3949 ,Cigna ,"BRAVO HEALTH PENNSYLVANIA, INC. ",CIGNA ,18%,28%,26%,Not Available ,15%
H3952 ,Independence Blue Cross ,"KEYSTONE HEALTH PLAN EAST, INC. ","Independence Health Group, Inc. ",11%,17%,28%,8%,8%
H3954 ,Geisinger Gold ,GEISINGER HEALTH PLAN ,Geisinger Health ,15%,19%,16%,Not Available ,13%
H3957 ,Highmark Inc. ,HIGHMARK CHOICE COMPANY ,Highmark Health ,9%,12%,28%,5%,6%
H3959 ,Aetna Medicare ,AETNA HEALTH INC. (PA) ,CVS Health Corporation ,25%,24%,23%,17%,19%
H3962 ,Capital Blue Cross ,"KEYSTONE HEALTH PLAN CENTRAL, INC. ",CAPITAL BLUE CROSS ,18%,16%,26%,Not Available ,11%
H3975 ,Wellcare ,"WELLCARE HEALTH INSURANCE COMPANY OF KENTUCKY, INC ",Centene Corporation ,17%,26%,19%,Not Available ,16%
H3979 ,Blue Cross and Blue Shield of Oklahoma ,"GHS HEALTH MAINTENANCE ORGANIZATION, INC. ",Health Care Service Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4003 ,Medicare y Mucho Mas ,"MMM HEALTHCARE, LLC ","Elevance Health, Inc. ",12%,16%,12%,Not Available ,16%
H4004 ,PMC Medicare Choice ,"MMM HEALTHCARE, LLC ","Elevance Health, Inc. ",5%,9%,5%,6%,7%
H4005 ,Triple-S Advantage ,"TRIPLE S ADVANTAGE, INC. ",Guidewell Mutual Holding Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4007 ,Humana ,"HUMANA HEALTH PLANS OF PUERTO RICO, INC. ",Humana Inc. ,16%,15%,16%,Not Available ,17%
H4036 ,Anthem Blue Cross and Blue Shield ,"ANTHEM INSURANCE COMPANIES, INC. ","Elevance Health, Inc. ",12%,9%,19%,Not Available ,12%
